Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
151,,Bateleur,Terathopius,ecaudatus,5.4085,17841,2024-05-31,2.8875,8798,2024-05-30
722,,Bokmakierie,Telophorus,zeylonus,28.9512,95501,2024-06-01,5.0192,15293,2024-09-08
731,,Brubru,Nilaus,afer,9.9576,32847,2024-05-31,1.5265,4651,2024-05-21
1102,,Budgerigar,Melopsittacus,undulatus,0.0049,16,2023-12-23,0.0013,4,2023-11-07
273,,Crab-plover,Dromas,ardeola,0.0091,30,2022-12-31,0.0023,7,2023-01-21
885,,Garganey,Spatula,querquedula,0.0003,1,2008-10-31,0.0000,0,-
72,,Hamerkop,Scopus,umbretta,13.1786,43472,2024-06-01,2.5528,7778,2024-05-30
10015,,"Hybrid Mallard",Anas,hybrid,0.4732,1561,2024-05-18,0.0476,145,2024-05-10
1016,,Mallard,Anas,platyrhynchos,2.2403,7390,2024-05-26,0.1969,600,2024-05-19
637,,Neddicky,Cisticola,fulvicapilla,31.2318,103024,2024-06-01,4.5558,13881,2024-05-30
844,,Quailfinch,Ortygospiza,atricollis,8.1411,26855,2024-05-31,1.1612,3538,2024-05-29
256,,Ruff,Calidris,pugnax,4.6506,15341,2024-05-16,0.7611,2319,2024-04-03
255,,Sanderling,Calidris,alba,1.3730,4529,2024-05-25,0.2294,699,2024-04-20
105,,Secretarybird,Sagittarius,serpentarius,3.4050,11232,2024-06-01,1.6617,5063,2024-05-31
161,,Shikra,Accipiter,badius,0.6590,2174,2024-05-26,0.1401,427,2024-05-18
577,,Whinchat,Saxicola,rubetra,0.0018,6,2023-11-12,0.0000,0,-
10,Albatross,"Atlantic Yellow-nosed",Thalassarche,chlororhynchos,0.0003,1,2016-05-14,0.0000,0,-
4151,Albatross,"Atlantic Yellow-nosed",Thalassarche,chlororhynchos,0.0012,4,2021-10-16,0.0007,2,2020-09-29
8,Albatross,Black-browed,Thalassarche,melanophris,0.0285,94,2023-12-30,0.0079,24,2024-05-08
9,Albatross,Grey-headed,Thalassarche,chrysostoma,0.0003,1,2020-06-11,0.0000,0,-
1079,Albatross,"Indian Yellow-nosed",Thalassarche,carteri,0.0312,103,2023-09-03,0.0102,31,2023-08-25
4150,Albatross,Shy,Thalassarche,cauta,0.0691,228,2024-05-17,0.0253,77,2024-05-08
11,Albatross,Shy,Thalassarche,cauta,0.0130,43,2016-09-24,0.0030,9,2016-09-04
622,Apalis,Bar-throated,Apalis,thoracica,22.8876,75499,2024-05-31,3.3585,10233,2024-05-27
624,Apalis,Rudd's,Apalis,ruddi,0.9286,3063,2024-05-26,0.1716,523,2024-04-30
625,Apalis,Yellow-breasted,Apalis,flavida,7.9817,26329,2024-05-31,1.0919,3327,2024-05-22
269,Avocet,Pied,Recurvirostra,avosetta,4.6885,15466,2024-05-29,0.9561,2913,2024-06-01
533,Babbler,Arrow-marked,Turdoides,jardineii,16.0533,52955,2024-05-31,3.6893,11241,2024-05-31
536,Babbler,"Southern Pied",Turdoides,bicolor,1.8274,6028,2024-05-28,0.4506,1373,2024-06-01
432,Barbet,"Acacia Pied",Tricholaema,leucomelas,19.0491,62837,2024-06-01,2.9607,9021,2024-05-28
431,Barbet,Black-collared,Lybius,torquatus,34.8062,114815,2024-06-01,5.6280,17148,2024-05-31
439,Barbet,Crested,Trachyphonus,vaillantii,33.3169,109902,2024-06-01,5.6700,17276,2024-05-31
435,Barbet,Green,Stactolaema,olivacea,0.0488,161,2024-04-27,0.0354,108,2024-01-19
433,Barbet,White-eared,Stactolaema,leucotis,2.8675,9459,2024-05-31,0.5855,1784,2024-05-26
672,Batis,Cape,Batis,capensis,8.8875,29317,2024-05-30,1.1543,3517,2024-05-29
673,Batis,Chinspot,Batis,molitor,19.4101,64028,2024-05-31,3.6782,11207,2024-05-26
674,Batis,Pririt,Batis,pririt,4.3445,14331,2024-05-30,0.5471,1667,2024-05-14
676,Batis,Woodward's,Batis,fratrum,0.1634,539,2024-05-12,0.0295,90,2024-03-16
405,Bee-eater,Blue-cheeked,Merops,persicus,1.3296,4386,2024-04-28,0.4897,1492,2024-04-30
404,Bee-eater,European,Merops,apiaster,16.6169,54814,2024-04-30,3.5698,10877,2024-04-13
410,Bee-eater,Little,Merops,pusillus,6.1203,20189,2024-05-31,1.2767,3890,2024-05-30
406,Bee-eater,Olive,Merops,superciliosus,0.0003,1,2021-12-28,0.0000,0,-
407,Bee-eater,"Southern Carmine",Merops,nubicoides,1.1156,3680,2024-03-27,0.5894,1796,2024-03-23
411,Bee-eater,Swallow-tailed,Merops,hirundineus,1.7252,5691,2024-05-29,0.5566,1696,2024-05-19
409,Bee-eater,White-fronted,Merops,bullockoides,9.4816,31277,2024-05-31,1.8501,5637,2024-05-30
1034,Bee-eater,White-throated,Merops,albicollis,0.0033,11,2023-02-23,0.0013,4,2023-12-17
808,Bishop,"Southern Red",Euplectes,orix,39.7785,131217,2024-06-01,7.7803,23706,2024-05-31
810,Bishop,Yellow,Euplectes,capensis,7.8213,25800,2024-05-31,1.3696,4173,2024-05-31
812,Bishop,Yellow-crowned,Euplectes,afer,5.9942,19773,2024-05-26,1.2534,3819,2024-05-23
66,Bittern,Dwarf,Ixobrychus,sturmii,0.3517,1160,2024-04-28,0.1021,311,2024-03-28
71,Bittern,Eurasian,Botaurus,stellaris,0.0030,10,2022-01-10,0.0007,2,2021-11-27
67,Bittern,Little,Ixobrychus,minutus,1.7680,5832,2024-05-27,0.2160,658,2024-05-18
969,Blackcap,Blackcap,Sylvia,atricapilla,0.0024,8,2017-07-20,0.0020,6,2017-07-20
542,Blackcap,Bush,Sylvia,nigricapillus,0.4844,1598,2024-05-17,0.0804,245,2024-05-05
46,Booby,Brown,Sula,leucogaster,0.0015,5,2024-03-05,0.0003,1,2024-01-20
1027,Booby,Red-footed,Sula,sula,0.0000,0,-,0.0003,1,2015-04-06
977,Boubou,"Ethiopian ",Laniarius,aethiopicus,0.5918,1952,2022-09-29,0.0463,141,2019-04-26
