Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
3005_2855,55,Heron,Black-headed,Ardea,melanocephala,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,61,Egret,"Western Cattle",Bubulcus,ibis,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,81,Ibis,"African Sacred",Threskiornis,aethiopicus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,84,Ibis,"Hadada ",Bostrychia,hagedash,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,114,Falcon,Lanner,Falco,biarmicus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,123,Kestrel,Rock,Falco,rupicolus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,152,Buzzard,Jackal,Buteo,rufofuscus,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,311,Pigeon,Speckled,Columba,guinea,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,314,Dove,Red-eyed,Streptopelia,semitorquata,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,316,Dove,"Cape Turtle",Streptopelia,capicola,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,343,Cuckoo,Red-chested,Cuculus,solitarius,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,502,Swallow,"Greater Striped",Cecropis,cucullata,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,506,Martin,Rock,Ptyonoprogne,fuligula,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,521,Oriole,Black-headed,Oriolus,larvatus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,522,Crow,Pied,Corvus,albus,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,524,Raven,White-necked,Corvus,albicollis,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,545,Bulbul,Dark-capped,Pycnonotus,tricolor,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,564,Wheatear,Mountain,Myrmecocichla,monticola,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,569,Chat,Buff-streaked,Campicoloides,bifasciatus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,581,Robin-Chat,Cape,Cossypha,caffra,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,682,Flycatcher,"African Paradise",Terpsiphone,viridis,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,692,Pipit,African,Anthus,cinnamomeus,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,745,Starling,Red-winged,Onychognathus,morio,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,746,Starling,Pied,Lamprotornis,bicolor,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,751,Sunbird,Malachite,Nectarinia,famosa,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,784,Sparrow,House,Passer,domesticus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,786,Sparrow,Cape,Passer,melanurus,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,818,Widowbird,Long-tailed,Euplectes,progne,,,,,,0.0,,,,,100.0,,1,2,50.0
3005_2855,857,Canary,Cape,Serinus,canicollis,,,,,,100.0,,,,,100.0,,2,2,100.0
3005_2855,1172,White-eye,Cape,Zosterops,virens,,,,,,0.0,,,,,100.0,,1,2,50.0
