Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2640_2755,6,Grebe,Little,Tachybaptus,ruficollis,50.0,28.6,0.0,0.0,20.0,0.0,,42.9,100.0,0.0,25.0,50.0,12,41,29.3
2640_2755,47,Cormorant,"White-breasted ",Phalacrocorax,lucidus,0.0,14.3,100.0,0.0,40.0,50.0,,0.0,0.0,100.0,0.0,50.0,9,41,22.0
2640_2755,50,Cormorant,Reed,Microcarbo,africanus,100.0,71.4,100.0,25.0,100.0,100.0,,28.6,100.0,100.0,25.0,75.0,27,41,65.9
2640_2755,52,Darter,African,Anhinga,rufa,25.0,28.6,100.0,25.0,60.0,100.0,,0.0,0.0,50.0,50.0,50.0,15,41,36.6
2640_2755,54,Heron,Grey,Ardea,cinerea,50.0,28.6,100.0,0.0,40.0,0.0,,14.3,100.0,50.0,25.0,25.0,12,41,29.3
2640_2755,55,Heron,Black-headed,Ardea,melanocephala,75.0,57.1,100.0,25.0,60.0,100.0,,57.1,0.0,0.0,25.0,25.0,20,41,48.8
2640_2755,56,Heron,Goliath,Ardea,goliath,0.0,14.3,0.0,50.0,20.0,0.0,,0.0,0.0,0.0,0.0,50.0,6,41,14.6
2640_2755,57,Heron,Purple,Ardea,purpurea,25.0,14.3,0.0,0.0,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,3,41,7.3
2640_2755,59,Egret,Little,Egretta,garzetta,0.0,28.6,100.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,25.0,5,41,12.2
2640_2755,60,Egret,Intermediate,Ardea,intermedia,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,1,41,2.4
2640_2755,61,Egret,"Western Cattle",Bubulcus,ibis,75.0,57.1,100.0,25.0,40.0,50.0,,14.3,0.0,100.0,50.0,75.0,20,41,48.8
2640_2755,62,Heron,Squacco,Ardeola,ralloides,0.0,28.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,72,,Hamerkop,Scopus,umbretta,25.0,14.3,0.0,0.0,0.0,0.0,,28.6,100.0,0.0,50.0,0.0,7,41,17.1
2640_2755,80,Stork,White,Ciconia,ciconia,25.0,14.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,81,Ibis,"African Sacred",Threskiornis,aethiopicus,50.0,28.6,0.0,25.0,20.0,0.0,,14.3,100.0,0.0,0.0,25.0,9,41,22.0
2640_2755,83,Ibis,Glossy,Plegadis,falcinellus,50.0,14.3,100.0,25.0,0.0,0.0,,0.0,0.0,50.0,0.0,75.0,9,41,22.0
2640_2755,84,Ibis,"Hadada ",Bostrychia,hagedash,100.0,85.7,100.0,75.0,80.0,50.0,,85.7,100.0,100.0,75.0,100.0,35,41,85.4
2640_2755,85,Spoonbill,African,Platalea,alba,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,25.0,3,41,7.3
2640_2755,88,Goose,Spur-winged,Plectropterus,gambensis,50.0,28.6,0.0,25.0,40.0,0.0,,14.3,100.0,100.0,25.0,75.0,15,41,36.6
2640_2755,89,Goose,Egyptian,Alopochen,aegyptiaca,75.0,57.1,100.0,75.0,100.0,100.0,,100.0,100.0,100.0,50.0,75.0,33,41,80.5
2640_2755,90,Shelduck,"South African",Tadorna,cana,0.0,0.0,100.0,0.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,95,Duck,"African Black",Anas,sparsa,0.0,28.6,100.0,50.0,20.0,0.0,,0.0,100.0,0.0,25.0,0.0,8,41,19.5
