Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2645_3205,174,Francolin,Crested,Dendroperdix,sephaena,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,183,Spurfowl,Natal,Pternistis,natalensis,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,196,Buttonquail,Common,Turnix,sylvaticus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,314,Dove,Red-eyed,Streptopelia,semitorquata,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,316,Dove,"Cape Turtle",Streptopelia,capicola,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,319,Dove,Tambourine,Turtur,tympanistria,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,321,Dove,"Emerald-spotted Wood",Turtur,chalcospilos,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,337,Turaco,Purple-crested,Gallirex,porphyreolophus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,419,"Wood Hoopoe","Green ",Phoeniculus,purpureus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,422,Hornbill,Trumpeter,Bycanistes,bucinator,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,427,Hornbill,Crowned,Lophoceros,alboterminatus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,431,Barbet,Black-collared,Lybius,torquatus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,438,Tinkerbird,Yellow-rumped,Pogoniulus,bilineatus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,447,Woodpecker,Golden-tailed,Campethera,abingoni,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,458,Lark,Rufous-naped,Mirafra,africana,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,468,Lark,Flappet,Mirafra,rufocinnamomea,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,493,Swallow,Barn,Hirundo,rustica,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,521,Oriole,Black-headed,Oriolus,larvatus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,527,Tit,"Southern Black",Melaniparus,niger,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,545,Bulbul,Dark-capped,Pycnonotus,tricolor,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,546,Brownbul,Terrestrial,Phyllastrephus,terrestris,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,551,Greenbul,Sombre,Andropadus,importunus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,599,Warbler,Willow,Phylloscopus,trochilus,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,621,Crombec,Long-billed,Sylvietta,rufescens,,100.0,,,,,,,,,,,1,1,100.0
2645_3205,625,Apalis,Yellow-breasted,Apalis,flavida,,100.0,,,,,,,,,,,1,1,100.0
