Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2445_2000,1,Ostrich,Common,Struthio,camelus,33.3,,50.0,100.0,,,50.0,50.0,60.0,0.0,100.0,,10,18,55.6
2445_2000,78,Stork,Abdim's,Ciconia,abdimii,33.3,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1,18,5.6
2445_2000,105,,Secretarybird,Sagittarius,serpentarius,33.3,,50.0,50.0,,,0.0,0.0,0.0,100.0,0.0,,4,18,22.2
2445_2000,107,Vulture,White-backed,Gyps,africanus,33.3,,100.0,0.0,,,50.0,50.0,80.0,0.0,0.0,,9,18,50.0
2445_2000,108,Vulture,Lappet-faced,Torgos,tracheliotos,0.0,,50.0,50.0,,,0.0,0.0,20.0,0.0,0.0,,3,18,16.7
2445_2000,114,Falcon,Lanner,Falco,biarmicus,33.3,,0.0,0.0,,,0.0,50.0,40.0,0.0,100.0,,5,18,27.8
2445_2000,117,Falcon,Red-necked,Falco,chicquera,0.0,,0.0,0.0,,,0.0,0.0,60.0,0.0,0.0,,3,18,16.7
2445_2000,122,Kestrel,Greater,Falco,rupicoloides,0.0,,0.0,0.0,,,0.0,0.0,80.0,100.0,0.0,,5,18,27.8
2445_2000,123,Kestrel,Rock,Falco,rupicolus,0.0,,0.0,0.0,,,0.0,0.0,20.0,0.0,0.0,,1,18,5.6
2445_2000,126,Falcon,Pygmy,Polihierax,semitorquatus,0.0,,0.0,0.0,,,0.0,0.0,40.0,0.0,0.0,,2,18,11.1
2445_2000,128,Kite,Black,Milvus,migrans,33.3,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1,18,5.6
2445_2000,129,Kite,Yellow-billed,Milvus,aegyptius,33.3,,50.0,0.0,,,0.0,50.0,0.0,0.0,0.0,,3,18,16.7
2445_2000,130,Kite,"Black-winged ",Elanus,caeruleus,66.7,,50.0,0.0,,,0.0,0.0,20.0,0.0,0.0,,4,18,22.2
2445_2000,134,Eagle,Tawny,Aquila,rapax,33.3,,0.0,50.0,,,0.0,100.0,40.0,0.0,0.0,,6,18,33.3
2445_2000,142,Eagle,Martial,Polemaetus,bellicosus,0.0,,0.0,0.0,,,0.0,0.0,60.0,0.0,100.0,,4,18,22.2
2445_2000,146,Eagle,"Black-chested Snake",Circaetus,pectoralis,66.7,,50.0,0.0,,,0.0,50.0,0.0,100.0,0.0,,5,18,27.8
2445_2000,151,,Bateleur,Terathopius,ecaudatus,33.3,,50.0,50.0,,,0.0,100.0,20.0,100.0,0.0,,7,18,38.9
2445_2000,162,Goshawk,Gabar,Micronisus,gabar,0.0,,0.0,0.0,,,0.0,0.0,60.0,0.0,0.0,,3,18,16.7
2445_2000,165,Goshawk,"Pale Chanting",Melierax,canorus,66.7,,100.0,100.0,,,50.0,100.0,80.0,100.0,100.0,,15,18,83.3
2445_2000,182,Spurfowl,Red-billed,Pternistis,adspersus,33.3,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1,18,5.6
2445_2000,196,Buttonquail,Common,Turnix,sylvaticus,0.0,,0.0,0.0,,,0.0,0.0,20.0,0.0,0.0,,1,18,5.6
2445_2000,217,Bustard,Kori,Ardeotis,kori,66.7,,50.0,50.0,,,100.0,0.0,20.0,100.0,0.0,,8,18,44.4
2445_2000,242,Lapwing,Crowned,Vanellus,coronatus,66.7,,50.0,100.0,,,100.0,100.0,60.0,100.0,0.0,,13,18,72.2
2445_2000,277,Courser,Temminck's,Cursorius,temminckii,0.0,,50.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1,18,5.6
2445_2000,307,Sandgrouse,Namaqua,Pterocles,namaqua,100.0,,0.0,100.0,,,50.0,0.0,20.0,100.0,0.0,,8,18,44.4
2445_2000,308,Sandgrouse,Burchell's,Pterocles,burchelli,0.0,,0.0,50.0,,,0.0,0.0,20.0,100.0,0.0,,3,18,16.7
2445_2000,316,Dove,"Cape Turtle",Streptopelia,capicola,100.0,,100.0,100.0,,,100.0,100.0,100.0,0.0,100.0,,17,18,94.4
2445_2000,317,Dove,Laughing,Spilopelia,senegalensis,0.0,,50.0,50.0,,,0.0,0.0,40.0,0.0,0.0,,4,18,22.2
