Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2435_2615,1,Ostrich,Common,Struthio,camelus,0.0,,0.0,0.0,,,,,0.0,33.3,,0.0,1,19,5.3
2435_2615,6,Grebe,Little,Tachybaptus,ruficollis,50.0,,0.0,0.0,,,,,100.0,0.0,,50.0,8,19,42.1
2435_2615,54,Heron,Grey,Ardea,cinerea,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,55,Heron,Black-headed,Ardea,melanocephala,50.0,,0.0,0.0,,,,,50.0,0.0,,12.5,4,19,21.1
2435_2615,61,Egret,"Western Cattle",Bubulcus,ibis,0.0,,0.0,0.0,,,,,100.0,33.3,,12.5,4,19,21.1
2435_2615,73,Stork,Marabou,Leptoptilos,crumenifer,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,80,Stork,White,Ciconia,ciconia,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,83,Ibis,Glossy,Plegadis,falcinellus,0.0,,0.0,0.0,,,,,0.0,33.3,,0.0,1,19,5.3
2435_2615,84,Ibis,"Hadada ",Bostrychia,hagedash,25.0,,0.0,0.0,,,,,0.0,0.0,,12.5,2,19,10.5
2435_2615,85,Spoonbill,African,Platalea,alba,50.0,,0.0,0.0,,,,,0.0,0.0,,25.0,4,19,21.1
2435_2615,88,Goose,Spur-winged,Plectropterus,gambensis,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,89,Goose,Egyptian,Alopochen,aegyptiaca,25.0,,0.0,0.0,,,,,50.0,0.0,,62.5,7,19,36.8
2435_2615,91,Duck,Knob-billed,Sarkidiornis,melanotos,50.0,,0.0,0.0,,,,,0.0,0.0,,0.0,2,19,10.5
2435_2615,96,Duck,Yellow-billed,Anas,undulata,25.0,,0.0,0.0,,,,,100.0,33.3,,37.5,7,19,36.8
2435_2615,97,Teal,Red-billed,Anas,erythrorhyncha,50.0,,0.0,0.0,,,,,100.0,33.3,,50.0,9,19,47.4
2435_2615,100,Duck,"White-faced Whistling",Dendrocygna,viduata,50.0,,0.0,0.0,,,,,100.0,33.3,,50.0,9,19,47.4
2435_2615,102,Pochard,Southern,Netta,erythrophthalma,0.0,,0.0,0.0,,,,,50.0,0.0,,0.0,1,19,5.3
2435_2615,107,Vulture,White-backed,Gyps,africanus,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,114,Falcon,Lanner,Falco,biarmicus,0.0,,0.0,100.0,,,,,0.0,0.0,,12.5,2,19,10.5
2435_2615,119,Falcon,Amur,Falco,amurensis,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,129,Kite,Yellow-billed,Milvus,aegyptius,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,130,Kite,"Black-winged ",Elanus,caeruleus,0.0,,0.0,100.0,,,,,0.0,33.3,,12.5,3,19,15.8
2435_2615,135,Eagle,Steppe,Aquila,nipalensis,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,137,Eagle,Wahlberg's,Hieraaetus,wahlbergi,25.0,,0.0,0.0,,,,,0.0,0.0,,12.5,2,19,10.5
2435_2615,146,Eagle,"Black-chested Snake",Circaetus,pectoralis,0.0,,100.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,154,Buzzard,Common,Buteo,buteo,25.0,,0.0,0.0,,,,,0.0,0.0,,37.5,4,19,21.1
2435_2615,162,Goshawk,Gabar,Micronisus,gabar,0.0,,100.0,0.0,,,,,50.0,33.3,,0.0,3,19,15.8
2435_2615,165,Goshawk,"Pale Chanting",Melierax,canorus,25.0,,0.0,100.0,,,,,0.0,33.3,,25.0,5,19,26.3
2435_2615,174,Francolin,Crested,Dendroperdix,sephaena,75.0,,0.0,100.0,,,,,0.0,33.3,,37.5,8,19,42.1
2435_2615,183,Spurfowl,Natal,Pternistis,natalensis,50.0,,100.0,100.0,,,,,0.0,0.0,,25.0,6,19,31.6
2435_2615,185,Spurfowl,Swainson's,Pternistis,swainsonii,75.0,,100.0,100.0,,,,,50.0,66.7,,75.0,14,19,73.7
2435_2615,192,Guineafowl,Helmeted,Numida,meleagris,25.0,,100.0,0.0,,,,,0.0,66.7,,50.0,8,19,42.1
2435_2615,196,Buttonquail,Common,Turnix,sylvaticus,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,217,Bustard,Kori,Ardeotis,kori,25.0,,0.0,0.0,,,,,50.0,0.0,,12.5,3,19,15.8
2435_2615,224,Korhaan,Red-crested,Lophotis,ruficrista,75.0,,100.0,100.0,,,,,50.0,66.7,,100.0,16,19,84.2
2435_2615,228,Jacana,African,Actophilornis,africanus,0.0,,0.0,0.0,,,,,50.0,0.0,,0.0,1,19,5.3
2435_2615,238,Plover,Three-banded,Charadrius,tricollaris,25.0,,0.0,0.0,,,,,100.0,33.3,,25.0,6,19,31.6
2435_2615,242,Lapwing,Crowned,Vanellus,coronatus,50.0,,100.0,0.0,,,,,50.0,66.7,,37.5,9,19,47.4
2435_2615,245,Lapwing,Blacksmith,Vanellus,armatus,50.0,,0.0,0.0,,,,,50.0,33.3,,75.0,10,19,52.6
2435_2615,253,Stint,Little,Calidris,minuta,25.0,,0.0,0.0,,,,,0.0,0.0,,12.5,2,19,10.5
2435_2615,256,,Ruff,Calidris,pugnax,0.0,,0.0,0.0,,,,,50.0,0.0,,0.0,1,19,5.3
2435_2615,258,Sandpiper,Common,Actitis,hypoleucos,25.0,,0.0,0.0,,,,,50.0,33.3,,12.5,4,19,21.1
2435_2615,259,Sandpiper,Green,Tringa,ochropus,25.0,,0.0,0.0,,,,,0.0,0.0,,0.0,1,19,5.3
2435_2615,262,Sandpiper,Marsh,Tringa,stagnatilis,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,263,Greenshank,Common,Tringa,nebularia,0.0,,0.0,0.0,,,,,50.0,33.3,,37.5,5,19,26.3
2435_2615,264,Sandpiper,Wood,Tringa,glareola,50.0,,0.0,0.0,,,,,50.0,0.0,,50.0,7,19,36.8
2435_2615,270,Stilt,Black-winged,Himantopus,himantopus,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,275,Thick-knee,Spotted,Burhinus,capensis,0.0,,0.0,0.0,,,,,0.0,0.0,,12.5,1,19,5.3
2435_2615,277,Courser,Temminck's,Cursorius,temminckii,0.0,,0.0,0.0,,,,,0.0,0.0,,25.0,2,19,10.5
2435_2615,310,Sandgrouse,Double-banded,Pterocles,bicinctus,0.0,,100.0,0.0,,,,,0.0,0.0,,12.5,2,19,10.5
2435_2615,311,Pigeon,Speckled,Columba,guinea,100.0,,0.0,100.0,,,,,0.0,33.3,,50.0,10,19,52.6
2435_2615,314,Dove,Red-eyed,Streptopelia,semitorquata,75.0,,0.0,0.0,,,,,50.0,33.3,,37.5,8,19,42.1
2435_2615,316,Dove,"Cape Turtle",Streptopelia,capicola,100.0,,100.0,100.0,,,,,100.0,66.7,,87.5,17,19,89.5
2435_2615,317,Dove,Laughing,Spilopelia,senegalensis,50.0,,100.0,0.0,,,,,100.0,66.7,,87.5,14,19,73.7
2435_2615,318,Dove,Namaqua,Oena,capensis,25.0,,100.0,0.0,,,,,0.0,0.0,,50.0,6,19,31.6
2435_2615,339,Go-away-bird,Grey,Crinifer,concolor,75.0,,0.0,0.0,,,,,0.0,66.7,,62.5,10,19,52.6
2435_2615,344,Cuckoo,Black,Cuculus,clamosus,75.0,,0.0,0.0,,,,,0.0,33.3,,50.0,8,19,42.1
